race,gender,age,job_title,state,city,zip_code,Salary
White,Female,19,Sales Associate,New York,New York City,10099,"$122,015.85 "
Black,Male,50,Web Designer,New York,Brooklyn,11241,"$273,466.68 "
White,Female,32,Electrician,New York,Buffalo,14210,"$74,380.16 "
Asian,Female,35,Graphic Designer,New York,Rochester,14609,"$132,154.96 "
Black,Female,48,Recruiter,New York,Schenectady,12305,"$210,670.20 "
Hispanic,Female,33,Electrician,New York,New York City,10260,"$214,289.34 "
White,Male,69,Research Associate,New York,Rochester,14604,"$179,923.35 "
White,Female,59,Registered Nurse,New York,New York City,10024,"$201,569.22 "
White,Male,24,Senior Editor,New York,Brooklyn,11210,"$239,938.14 "
White,Female,32,Marketing Assistant,New York,Brooklyn,11231,"$195,850.75 "
White,Male,36,Clinical Specialist,New York,Rochester,14619,"$109,371.08 "
Hispanic,Female,70,Electrician,New York,Elmira,14905,"$69,313.87 "
White,Female,37,Carpenter,New York,Jamaica,11407,"$127,222.13 "
Hispanic,Female,47,Junior Executive,New York,Brooklyn,11205,"$236,131.44 "
Hispanic,Female,23,Sales Associate,New York,New York City,10125,"$137,047.41 "
White,Male,28,Nurse Practicioner,New York,Jamaica,11480,"$262,145.38 "
Black,Male,69,Clinical Specialist,New York,New York City,10099,"$243,181.04 "
White,Female,50,Financial Advisor,New York,Buffalo,14269,"$202,383.82 "
Hispanic,Male,27,Senior Editor,New York,Bronx,10469,"$120,807.36 "
Hispanic,Female,35,Software Developer,New York,New York City,10175,"$47,373.88 "
White,Female,58,Sales Associate,New York,Rochester,14639,"$43,529.98 "
White,Female,56,Software Developer,New York,Buffalo,14263,"$35,857.22 "
Hispanic,Male,55,Environmental Tech,New York,Rochester,14624,"$216,766.80 "
White,Male,70,Carpenter,New York,Brooklyn,11220,"$42,374.48 "
Hispanic,Male,58,Carpenter,New York,New York City,10099,"$33,852.09 "
Hispanic,Male,28,Research Assistant,New York,New York City,10009,"$62,398.52 "
White,Female,50,Assistant Professor,New York,Elmira,14905,"$133,727.38 "
Hispanic,Male,48,Social Worker,New York,New York City,10270,"$246,014.00 "
Hispanic,Male,66,Health Coach,New York,Rochester,14624,"$287,446.97 "
White,Male,66,Account Coordinator,New York,Staten Island,10305,"$257,176.81 "
White,Female,29,Actuary,New York,Brooklyn,11236,"$166,888.49 "
Other,Male,18,Associate Professor,New York,Albany,12242,"$119,008.56 "
Black,Male,25,Assistant Professor,New York,Rochester,14646,"$242,941.86 "
Hispanic,Male,23,Graphic Designer,New York,New York City,10060,"$57,659.89 "
White,Female,53,Payment Adjustment Coordinator,New York,Yonkers,10705,"$229,865.23 "
Hispanic,Male,24,Marketing Assistant,New York,Elmira,14905,"$215,527.01 "
White,Male,21,Human Resources,New York,Albany,12222,"$291,850.30 "
American Indian & Alaska Native,Male,52,General Manager,New York,New York City,10184,"$227,215.59 "
White,Male,20,General Manager,New York,White Plains,10633,"$260,179.90 "
White,Male,45,Marketing Manager,New York,New York City,10260,"$134,125.21 "
Black,Male,41,Clinical Specialist,New York,New York City,10105,"$205,932.93 "
Other,Male,20,Community Outreach Specialist,New York,Utica,13505,"$72,792.27 "
White,Male,57,Accountant,New York,Brooklyn,11247,"$82,340.51 "
White,Female,71,Carpenter,New York,New York City,10029,"$63,782.48 "
White,Male,63,Director of Sales,New York,Albany,12210,"$192,182.94 "
White,Male,61,Marketing Manager,New York,New York City,10105,"$295,586.97 "
White,Female,53,Tax Accountant,New York,Schenectady,12305,"$34,729.53 "
White,Male,39,Associate Professor,New York,New York City,10184,"$271,402.84 "
White,Female,52,VP Sales,New York,Elmira,14905,"$235,752.99 "
White,Male,53,Carpenter,New York,New York City,10249,"$169,414.82 "
White,Male,20,Carpenter,New York,Buffalo,14276,"$88,357.39 "
White,Female,61,Payment Adjustment Coordinator,New York,Rochester,14614,"$184,808.92 "
White,Female,53,Junior Executive,New York,New York City,10079,"$200,068.33 "
White,Male,37,Software Developer,New York,Brooklyn,11241,"$198,780.90 "
White,Female,30,Sales Representative,New York,Flushing,11355,"$272,995.20 "
Black,Male,65,Accountant,New York,New York City,10270,"$171,949.83 "
White,Female,47,Carpenter,New York,Buffalo,14276,"$188,706.12 "
Black,Male,53,Teacher,New York,New York City,10249,"$117,768.44 "
White,Female,24,Research Assistant,New York,Hicksville,11854,"$118,605.23 "
White,Female,19,Staff Scientist,New York,Buffalo,14225,"$255,428.56 "
White,Female,44,Senior Financial Analyst,New York,Staten Island,10305,"$247,683.15 "
White,Female,34,Occupational Therapist,New York,Albany,12205,"$170,305.22 "
Hispanic,Female,54,Carpenter,New York,Buffalo,14220,"$164,606.14 "
White,Female,22,Account Coordinator,New York,Syracuse,13210,"$168,169.89 "
White,Male,52,Sales Representative,New York,Bronx,10459,"$50,919.22 "
White,Female,21,Compensation Analyst,New York,Rochester,14683,"$94,143.70 "
White,Male,65,Information Systems Manager,New York,New York City,10060,"$203,611.98 "
White,Female,48,Buget Analyst,New York,New York City,10019,"$157,927.00 "
Asian,Female,19,VP Product Management,New York,Buffalo,14205,"$56,320.54 "
White,Male,29,Clinical Specialist,New York,New York City,10110,"$158,032.87 "
Hispanic,Female,52,Carpenter,New York,Brooklyn,11210,"$193,391.57 "
Other,Male,56,Social Worker,New York,New York City,10275,"$40,287.51 "
White,Male,40,Statistician,New York,Buffalo,14233,"$103,617.59 "
Other,Female,45,Assistant Manager,New York,Albany,12232,"$147,898.97 "
White,Female,21,General Manager,New York,New York City,10060,"$169,120.26 "
Hispanic,Male,57,Food Chemist,New York,Albany,12255,"$53,679.61 "
White,Male,31,Paralegal,New York,Brooklyn,11241,"$95,920.39 "
Hispanic,Male,31,Software Developer,New York,Syracuse,13205,"$74,025.75 "
White,Female,51,Human Resources,New York,Brooklyn,11210,"$286,544.68 "
White,Male,46,Recruiting Manager,New York,New York City,10029,"$229,492.05 "
White,Female,46,Graphic Designer,New York,Buffalo,14263,"$279,538.06 "
White,Female,60,VP Sales,New York,Buffalo,14263,"$188,857.44 "
Hispanic,Male,62,Help Desk Operator,New York,Brooklyn,11241,"$291,373.02 "
White,Male,61,Carpenter,New York,New York City,10160,"$255,637.03 "
White,Female,62,Technical Writer,New York,Albany,12247,"$94,422.47 "
Hispanic,Male,32,Administrative Officer,New York,Flushing,11388,"$171,996.53 "
White,Male,35,Account Coordinator,New York,Hicksville,11854,"$122,261.16 "
Other,Female,35,VP Sales,New York,Albany,12242,"$60,148.18 "
White,Female,47,Environmental Tech,New York,Albany,12262,"$201,495.09 "
White,Male,29,Director of Sales,New York,Brooklyn,11236,"$75,081.06 "
Hispanic,Male,33,Librarian,New York,Bronx,10464,"$221,941.19 "
White,Female,27,Sales Representative,New York,New York City,10110,"$280,337.94 "
White,Female,35,Librarian,New York,Brooklyn,11215,"$116,946.19 "
Black,Female,60,Community Outreach Specialist,New York,Buffalo,14205,"$187,800.47 "
Hispanic,Male,60,Food Chemist,New York,Bronx,10454,"$253,975.51 "
Hispanic,Male,56,Health Coach,New York,Great Neck,11024,"$37,636.01 "
White,Male,25,Desktop Support Technician,New York,New York City,10120,"$67,334.03 "
White,Female,20,Desktop Support Technician,New York,New York City,10280,"$90,625.30 "
White,Male,62,Database Administrator,New York,New York City,10165,"$68,789.36 "
White,Female,29,VP Marketing,New York,New York City,10260,"$217,380.53 "
White,Male,37,Carpenter,New York,Jamaica,11499,"$153,822.03 "
Black,Female,48,Systems Administrator,New York,New York City,10155,"$46,817.82 "
White,Female,25,Tax Accountant,New York,Schenectady,12325,"$200,691.81 "
White,Female,33,Librarian,New York,Buffalo,14210,"$35,571.59 "
Hispanic,Female,32,Food Chemist,New York,New York City,10165,"$239,945.98 "
White,Male,18,Legal Assistant,New York,Rochester,14614,"$166,925.66 "
Hispanic,Female,30,Teacher,New York,Staten Island,10305,"$181,753.45 "
Hispanic,Female,41,Administrative Officer,New York,Rochester,14614,"$150,272.97 "
White,Female,70,Desktop Support Technician,New York,New York City,10014,"$65,271.66 "
White,Female,51,Safety Technician,New York,New York City,10203,"$144,211.73 "
Black,Female,68,Human Resources,New York,Elmira,14905,"$243,143.51 "
White,Female,25,Desktop Support Technician,New York,New York City,10150,"$32,448.95 "
White,Male,41,Assistant Professor,New York,Schenectady,12325,"$35,962.64 "
White,Male,20,Web Designer,New York,Jamaica,11480,"$285,840.46 "
White,Female,34,Recruiting Manager,New York,Brooklyn,11215,"$237,876.55 "
Hispanic,Male,49,Senior Financial Analyst,New York,Syracuse,13210,"$80,318.66 "
White,Male,27,Internal Auditor,New York,Brooklyn,11205,"$125,353.17 "
Hispanic,Male,39,Pharmacist,New York,New York City,10105,"$193,376.38 "
White,Female,58,Food Chemist,New York,Elmira,14905,"$163,394.60 "
White,Female,55,Sales Representative,New York,New York City,10045,"$45,626.48 "
Other,Female,30,Systems Administrator,New York,Albany,12247,"$58,978.24 "
Hispanic,Male,24,Geologist,New York,Jamaica,11431,"$84,475.52 "
American Indian & Alaska Native,Female,64,Executive Assistant,New York,Staten Island,10305,"$260,757.45 "
White,Male,58,Software Developer,New York,New York City,10249,"$254,379.80 "
Hispanic,Female,24,Technical Writer,New York,Schenectady,12305,"$256,373.45 "
White,Female,19,Human Resources,New York,Mount Vernon,10557,"$34,664.06 "
Black,Male,52,Associate Professor,New York,Bronx,10454,"$126,668.40 "
White,Male,70,Software Developer,New York,White Plains,10606,"$253,837.62 "
White,Male,53,Director of Sales,New York,New York City,10060,"$58,407.19 "
Hispanic,Female,68,Junior Executive,New York,Rochester,14624,"$109,995.29 "
Asian,Female,43,Database Administrator,New York,New York City,10131,"$217,618.58 "
Black,Male,43,Environmental Specialist,New York,New York City,10105,"$124,474.50 "
White,Female,64,Community Outreach Specialist,New York,New York City,10039,"$75,610.05 "
White,Female,38,Technical Writer,New York,Albany,12262,"$148,567.24 "
White,Female,26,Software Developer,New York,New York City,10165,"$85,220.54 "
Black,Female,63,Executive Secretary,New York,Bronx,10454,"$191,854.60 "
Asian,Female,66,Senior Financial Analyst,New York,New York City,10292,"$132,870.66 "
White,Male,59,Accountant,New York,New York City,10292,"$138,096.55 "
Asian,Male,51,Staff Scientist,New York,Port Washington,11054,"$290,746.93 "
Hispanic,Male,34,Help Desk Operator,New York,Staten Island,10305,"$294,257.44 "
Hispanic,Female,50,Senior Editor,New York,New York City,10249,"$267,415.88 "
White,Male,51,Paralegal,New York,Rochester,14614,"$281,533.09 "
White,Male,33,VP Product Management,New York,Jamaica,11447,"$148,356.24 "
White,Male,30,Registered Nurse,New York,Elmira,14905,"$134,046.34 "
Black,Female,42,Software Developer,New York,Albany,12205,"$79,484.91 "
Black,Male,39,Help Desk Technician,New York,Rochester,14639,"$134,531.99 "
White,Male,52,Software Developer,New York,New York City,10280,"$263,994.85 "
Hispanic,Female,68,Account Executive,New York,New York City,10165,"$87,766.71 "
Hispanic,Female,45,Carpenter,New York,Rochester,14609,"$283,407.45 "
Black,Female,63,Sales Associate,New York,New York City,10004,"$97,706.89 "
Hispanic,Female,23,Research Assistant,New York,Buffalo,14225,"$51,434.54 "
Asian,Male,24,Desktop Support Technician,New York,New York City,10019,"$97,923.26 "
Hispanic,Female,41,Editor,New York,Bronx,10464,"$74,850.91 "
White,Female,41,Environmental Tech,New York,New York City,10014,"$238,942.94 "
White,Female,21,Carpenter,New York,New York City,10165,"$165,809.59 "
Black,Male,48,Software Developer,New York,Mount Vernon,10557,"$89,374.65 "
Black,Male,57,Database Administrator,New York,Rochester,14614,"$235,502.75 "
White,Male,29,Physical Therapy Assistant,New York,New York City,10110,"$248,013.24 "
Asian,Female,39,Librarian,New York,Albany,12205,"$121,030.07 "
Hispanic,Male,45,Environmental Tech,New York,Hicksville,11854,"$193,635.90 "
White,Male,44,Tax Accountant,New York,Buffalo,14220,"$161,659.43 "
White,Female,51,Environmental Tech,New York,New York City,10029,"$41,049.56 "
White,Male,59,VP Product Management,New York,Syracuse,13205,"$63,100.49 "
White,Female,60,Carpenter,New York,Great Neck,11024,"$194,872.09 "
White,Female,67,Automation Specialist,New York,White Plains,10633,"$91,933.98 "
White,Female,58,General Manager,New York,New York City,10039,"$272,955.81 "
White,Female,50,Sales Representative,New York,Rochester,14604,"$117,702.36 "
White,Male,56,Research Associate,New York,Syracuse,13205,"$254,455.29 "
Asian,Male,63,Paralegal,New York,New York City,10009,"$85,099.40 "
Hispanic,Male,41,Carpenter,New York,Staten Island,10310,"$294,636.84 "
White,Female,47,Carpenter,New York,Buffalo,14210,"$69,547.80 "
Hispanic,Male,47,Quality Control Specialist,New York,New York City,10115,"$27,024.99 "
Black,Male,20,Statistician,New York,Albany,12237,"$44,342.97 "
Hispanic,Male,54,Carpenter,New York,Rochester,14624,"$93,893.85 "
White,Female,41,Recruiting Manager,New York,Buffalo,14215,"$221,883.23 "
White,Female,46,Health Coach,New York,Great Neck,11024,"$78,996.47 "
White,Female,27,Senior Cost Accountant,New York,Albany,12237,"$193,022.59 "
American Indian & Alaska Native,Male,49,Account Executive,New York,New York City,10260,"$264,919.86 "
Hispanic,Female,51,Health Coach,New York,Flushing,11355,"$190,315.16 "
White,Male,40,Pharmacist,New York,Brooklyn,11225,"$232,072.41 "
White,Female,28,Marketing Assistant,New York,New York City,10060,"$204,487.69 "
Black,Male,56,Software Developer,New York,Brooklyn,11254,"$78,254.27 "
Other,Female,65,Carpenter,New York,Jamaica,11407,"$71,086.93 "
White,Female,67,Software Developer,New York,New Hyde Park,11044,"$91,644.58 "
Hispanic,Male,45,Database Administrator,New York,Schenectady,12305,"$55,435.84 "
White,Female,61,Pharmacist,New York,Hicksville,11854,"$214,371.26 "
Hispanic,Male,38,VP Accounting,New York,Syracuse,13210,"$177,456.84 "
White,Male,70,Recruiter,New York,Syracuse,13251,"$174,888.74 "
White,Female,22,Senior Editor,New York,Schenectady,12305,"$261,948.84 "
Asian,Female,59,Associate Professor,New York,New York City,10125,"$150,457.18 "
Hispanic,Female,66,Graphic Designer,New York,Brooklyn,11205,"$126,838.25 "
White,Female,28,Social Worker,New York,New York City,10120,"$225,411.73 "
White,Male,42,Senior Financial Analyst,New York,Yonkers,10705,"$187,588.54 "
Black,Male,35,Account Executive,New York,Brooklyn,11215,"$110,121.76 "
White,Male,52,Recruiter,New York,New York City,10115,"$52,858.76 "
Asian,Male,37,Carpenter,New York,Brooklyn,11215,"$158,377.24 "
White,Male,49,Senior Cost Accountant,New York,Brooklyn,11236,"$296,329.02 "
White,Male,61,Biostatistician,New York,Syracuse,13205,"$165,050.56 "
Black,Female,52,Physical Therapy Assistant,New York,Jamaica,11480,"$246,761.56 "
Black,Male,64,Software Developer,New York,Syracuse,13251,"$185,763.21 "
White,Female,63,Quality Control Specialist,New York,Brooklyn,11225,"$225,592.01 "
White,Female,36,Research Associate,New York,Jamaica,11480,"$199,060.28 "
White,Female,58,Environmental Tech,New York,New York City,10034,"$160,791.98 "
White,Female,26,Statistician,New York,Albany,12247,"$182,515.79 "
White,Male,54,Assistant Manager,New York,New York City,10150,"$299,207.07 "
White,Male,33,Professor,New York,Buffalo,14269,"$214,313.04 "
White,Female,61,Account Executive,New York,New York City,10039,"$189,669.29 "
Hispanic,Male,27,Software Developer,New York,New York City,10014,"$119,103.29 "
White,Female,61,Carpenter,New York,New York City,10034,"$249,952.50 "
Other,Male,57,Carpenter,New York,Jamaica,11499,"$266,857.73 "
White,Female,23,Desktop Support Technician,New York,New York City,10280,"$99,880.56 "
Asian,Female,26,VP Marketing,New York,Schenectady,12325,"$159,704.03 "
Asian,Female,22,Research Associate,New York,Buffalo,14205,"$98,636.92 "
White,Female,53,Help Desk Operator,New York,Yonkers,10705,"$29,498.80 "
White,Female,46,Web Designer,New York,Brooklyn,11215,"$104,494.00 "
White,Female,65,Food Chemist,New York,New York City,10060,"$292,518.41 "
White,Male,37,Tax Accountant,New York,Albany,12232,"$148,038.81 "
White,Female,46,GIS Technical Architect,New York,Yonkers,10705,"$91,755.79 "
White,Male,61,Librarian,New York,Schenectady,12325,"$76,965.04 "
White,Male,68,Desktop Support Technician,New York,Syracuse,13205,"$138,073.50 "
White,Female,28,Help Desk Operator,New York,Rochester,14614,"$157,752.90 "
Hispanic,Male,47,Software Developer,New York,Albany,12205,"$283,122.46 "
White,Male,46,Statistician,New York,New York City,10034,"$203,494.32 "
White,Male,52,Accountant,New York,Rochester,14614,"$38,738.84 "
Hispanic,Female,66,Automation Specialist,New York,Brooklyn,11241,"$101,383.18 "
White,Female,21,Office Assistant,New York,Brooklyn,11210,"$217,670.22 "
White,Male,56,Tax Accountant,New York,Syracuse,13251,"$259,297.67 "
White,Male,65,Clinical Specialist,New York,Syracuse,13217,"$213,580.86 "
Black,Male,55,Sales Associate,New York,Syracuse,13210,"$82,912.99 "
Hispanic,Male,48,Software Developer,New York,Albany,12255,"$210,843.29 "
Hispanic,Female,67,Carpenter,New York,New York City,10004,"$249,087.06 "
White,Female,49,Clinical Specialist,New York,New York City,10292,"$124,024.37 "
Hispanic,Male,21,Occupational Therapist,New York,Brooklyn,11210,"$292,963.19 "
Hispanic,Female,42,Sales Representative,New York,New Hyde Park,11044,"$99,444.45 "
White,Female,51,Food Chemist,New York,Schenectady,12325,"$259,351.31 "
Hispanic,Male,60,Office Assistant,New York,Albany,12247,"$116,696.86 "
Asian,Female,62,Operator,New York,New York City,10029,"$42,287.74 "
White,Female,45,Carpenter,New York,Schenectady,12305,"$60,824.73 "
Black,Female,48,Junior Executive,New York,New York City,10019,"$162,442.63 "
Hispanic,Female,64,Technical Writer,New York,Rochester,14609,"$130,633.75 "
Asian,Male,68,Sales Representative,New York,Rochester,14652,"$40,952.20 "
Hispanic,Male,61,Research Associate,New York,Buffalo,14215,"$28,696.46 "
Asian,Male,19,Safety Technician,New York,New York City,10079,"$264,131.71 "
White,Male,28,Software Developer,New York,Yonkers,10705,"$148,163.23 "
White,Male,56,Community Outreach Specialist,New York,Albany,12205,"$214,569.14 "
White,Female,65,Tax Accountant,New York,Rochester,14652,"$187,167.17 "
Asian,Female,45,Human Resources,New York,New York City,10170,"$194,703.27 "
White,Female,27,Teacher,New York,Albany,12255,"$29,007.41 "
White,Male,60,Software Developer,New York,Jamaica,11499,"$100,059.77 "
Black,Male,34,Software Developer,New York,Elmira,14905,"$150,633.39 "
Black,Male,70,Physical Therapy Assistant,New York,New York City,10115,"$83,936.81 "
White,Female,31,Financial Analyst,New York,Brooklyn,11225,"$39,657.22 "
White,Male,65,Carpenter,New York,New York City,10045,"$63,076.66 "
White,Male,28,Carpenter,New York,Buffalo,14269,"$98,450.93 "
White,Male,64,VP Sales,New York,New York City,10009,"$95,682.32 "
White,Female,45,Business Systems Development Analyst,New York,Albany,12227,"$201,501.64 "
Black,Male,35,Project Manager,New York,Buffalo,14276,"$101,575.82 "
White,Female,27,Professor,New York,Rochester,14639,"$29,281.73 "
White,Female,33,Payment Adjustment Coordinator,New York,Brooklyn,11231,"$94,806.06 "
White,Female,34,Buget Analyst,New York,Brooklyn,11210,"$73,810.31 "
White,Female,65,Safety Technician,New York,Syracuse,13217,"$181,598.32 "
White,Female,68,Editor,New York,New York City,10175,"$251,670.47 "
White,Male,21,Speech Pathologist,New York,Rochester,14652,"$192,174.35 "
White,Female,45,Web Designer,New York,Brooklyn,11215,"$74,678.13 "
Black,Male,44,Carpenter,New York,Brooklyn,11215,"$31,696.48 "
White,Male,31,Help Desk Technician,New York,New York City,10110,"$141,146.60 "
White,Male,30,Carpenter,New York,New York City,10280,"$204,759.11 "
White,Male,42,Carpenter,New York,New York City,10125,"$42,122.17 "
Black,Female,39,Research Associate,New York,Port Washington,11054,"$241,421.80 "
Asian,Female,25,VP Sales,New York,New York City,10019,"$141,469.87 "
White,Male,21,Executive Assistant,New York,Rochester,14609,"$101,268.51 "
Hispanic,Female,31,Recruiter,New York,Jamaica,11499,"$227,486.49 "
Hispanic,Female,27,Sales Associate,New York,Elmira,14905,"$219,924.37 "
Hispanic,Male,37,Software Consultant,New York,New York City,10045,"$191,572.70 "
Black,Female,59,Nurse Practicioner,New York,New York City,10275,"$205,109.35 "
White,Male,45,Administrative Officer,New York,Syracuse,13217,"$229,813.99 "
White,Female,31,Administrative Officer,New York,New York City,10004,"$291,388.88 "
Hispanic,Male,39,Nurse Practicioner,New York,Albany,12227,"$157,050.17 "
White,Female,21,Legal Assistant,New York,New York City,10039,"$118,326.93 "
Black,Female,56,Statistician,New York,Brooklyn,11225,"$204,736.18 "
White,Female,29,Staff Scientist,New York,New York City,10115,"$91,970.32 "
White,Female,53,Administrative Officer,New York,Schenectady,12305,"$149,786.19 "
White,Male,20,Web Designer,New York,Hicksville,11854,"$58,828.29 "
White,Male,69,Software Developer,New York,New York City,10260,"$244,445.81 "
White,Male,36,Research Associate,New York,Staten Island,10305,"$157,465.32 "
Black,Female,36,Account Coordinator,New York,New York City,10170,"$82,373.20 "
Black,Male,55,Administrative Officer,New York,Buffalo,14205,"$76,413.20 "
White,Female,41,Research Associate,New York,Buffalo,14205,"$45,089.66 "
Hispanic,Female,46,Recruiter,New York,Albany,12255,"$115,231.98 "
White,Male,19,Account Executive,New York,Brooklyn,11231,"$262,497.24 "
Black,Male,49,Software Developer,New York,New York City,10160,"$152,088.26 "
White,Male,18,Occupational Therapist,New York,New York City,10014,"$154,240.11 "
White,Female,59,Paralegal,New York,New York City,10260,"$140,335.88 "
White,Male,64,Software Developer,New York,Brooklyn,11241,"$289,650.49 "
White,Male,67,Payment Adjustment Coordinator,New York,Buffalo,14263,"$86,002.41 "
White,Female,59,Human Resources,New York,Schenectady,12305,"$88,926.19 "
White,Female,48,Safety Technician,New York,Buffalo,14263,"$223,811.78 "
White,Female,57,Software Developer,New York,New York City,10175,"$68,816.69 "
White,Male,42,Editor,New York,Buffalo,14269,"$273,822.22 "
Black,Male,63,Physical Therapy Assistant,New York,New York City,10079,"$31,695.65 "
Hispanic,Male,44,Technical Writer,New York,Brooklyn,11220,"$198,568.91 "
White,Male,60,Software Developer,New York,New York City,10024,"$160,882.71 "
White,Male,43,Quality Control Specialist,New York,Staten Island,10305,"$98,291.30 "
White,Female,65,Nurse,New York,Staten Island,10305,"$176,449.36 "
White,Female,47,Accountant,New York,Jamaica,11436,"$220,837.38 "
Black,Female,66,Software Developer,New York,New York City,10014,"$229,299.85 "
White,Female,69,Associate Professor,New York,Flushing,11355,"$160,629.59 "
White,Male,35,Assistant Manager,New York,Jamaica,11499,"$275,656.24 "
White,Male,32,Financial Analyst,New York,White Plains,10606,"$293,636.52 "
White,Female,56,Carpenter,New York,Syracuse,13251,"$263,227.25 "
Black,Male,26,Help Desk Technician,New York,New York City,10024,"$55,876.97 "
White,Male,34,Sales Representative,New York,New York City,10060,"$201,572.54 "
White,Female,31,Administrative Officer,New York,New York City,10014,"$109,040.68 "
White,Female,31,Media Manager,New York,New York City,10150,"$269,139.50 "
White,Male,21,Senior Sales Associate,New York,Albany,12210,"$102,013.73 "
White,Female,52,Electrician,New York,New York City,10249,"$61,631.69 "
White,Female,51,Recruiter,New York,New York City,10004,"$299,677.78 "
Hispanic,Female,25,Sales Representative,New York,Yonkers,10705,"$269,376.10 "
Black,Male,52,Welder,New York,Staten Island,10305,"$46,406.43 "
White,Male,64,Graphic Designer,New York,Albany,12227,"$101,282.38 "
Hispanic,Female,62,VP Quality Control,New York,Brooklyn,11215,"$59,740.32 "
Hispanic,Male,29,Biostatistician,New York,New York City,10099,"$66,224.86 "
Hispanic,Female,50,Financial Advisor,New York,Hicksville,11854,"$162,657.57 "
White,Male,35,Senior Financial Analyst,New York,New York City,10249,"$78,313.67 "
White,Female,70,Senior Cost Accountant,New York,Jamaica,11499,"$294,145.23 "
Hispanic,Male,18,Research Assistant,New York,New York City,10203,"$58,028.05 "
White,Female,51,Senior Financial Analyst,New York,Brooklyn,11231,"$126,546.73 "
White,Male,44,Welder,New York,Jamaica,11407,"$292,634.60 "
White,Male,32,Welder,New York,Albany,12262,"$180,227.75 "
White,Female,48,Pharmacist,New York,Brooklyn,11225,"$196,434.00 "
White,Male,35,Research Associate,New York,Brooklyn,11220,"$271,300.71 "
White,Male,41,Software Developer,New York,New York City,10110,"$220,452.70 "
White,Female,38,Administrative Officer,New York,Yonkers,10705,"$297,337.32 "
White,Female,20,Paralegal,New York,New York City,10019,"$146,819.58 "
White,Female,63,Account Coordinator,New York,New York City,10024,"$291,704.30 "
White,Male,28,Junior Executive,New York,Brooklyn,11220,"$128,589.02 "
White,Female,31,Buget Analyst,New York,Buffalo,14215,"$39,664.41 "
Asian,Female,35,Editor,New York,Albany,12227,"$71,174.63 "
White,Male,47,Quality Control Specialist,New York,Buffalo,14276,"$180,792.72 "
White,Female,45,Cost Accountant,New York,Buffalo,14269,"$186,571.16 "
Black,Male,68,Speech Pathologist,New York,Staten Island,10305,"$110,605.51 "
White,Female,42,Tax Accountant,New York,Buffalo,14276,"$230,707.11 "
White,Male,62,Human Resources,New York,Albany,12262,"$260,118.74 "
White,Female,62,Marketing Manager,New York,New York City,10270,"$183,006.41 "
White,Female,43,Software Developer,New York,Albany,12247,"$29,088.91 "
White,Male,20,Welder,New York,Albany,12242,"$265,625.54 "
White,Male,32,Research Associate,New York,Jamaica,11447,"$54,226.65 "
Hispanic,Male,21,Office Assistant,New York,New York City,10024,"$150,741.12 "
White,Female,58,Nurse,New York,New York City,10165,"$180,998.25 "
White,Male,36,Sales Representative,New York,New York City,10125,"$130,494.86 "
Other,Male,54,Executive Assistant,New York,Albany,12232,"$46,880.53 "
White,Male,43,Environmental Specialist,New York,Port Washington,11054,"$147,842.49 "
White,Female,25,Teacher,New York,Buffalo,14205,"$93,757.56 "
Hispanic,Female,30,Junior Executive,New York,New York City,10125,"$107,535.59 "
White,Female,64,VP Product Management,New York,White Plains,10606,"$196,040.81 "
White,Female,67,Software Developer,New York,Bronx,10474,"$299,372.93 "
White,Male,39,GIS Technical Architect,New York,Syracuse,13217,"$156,768.68 "
White,Female,29,VP Sales,New York,New York City,10099,"$167,638.28 "
Hispanic,Female,30,Pharmacist,New York,White Plains,10633,"$295,504.95 "
White,Male,54,Internal Auditor,New York,Mount Vernon,10557,"$168,456.80 "
White,Male,30,Nurse Practicioner,New York,New York City,10275,"$225,618.41 "
Asian,Female,56,Software Developer,New York,New York City,10029,"$93,777.42 "
Hispanic,Female,35,Marketing Manager,New York,New York City,10260,"$110,018.12 "
Black,Female,55,Actuary,New York,New York City,10125,"$31,965.05 "
White,Male,56,Software Developer,New York,Albany,12237,"$62,482.56 "
White,Female,28,Clinical Specialist,New York,New York City,10160,"$148,890.28 "
Black,Female,39,Information Systems Manager,New York,Rochester,14624,"$39,290.65 "
White,Female,18,Executive Assistant,New York,Albany,12237,"$85,768.91 "
White,Female,24,Statistician,New York,Rochester,14604,"$109,002.71 "
White,Female,18,Community Outreach Specialist,New York,Staten Island,10310,"$51,225.49 "
Black,Female,44,Internal Auditor,New York,Utica,13505,"$127,883.67 "
White,Female,29,Welder,New York,Albany,12255,"$85,513.02 "
Hispanic,Male,26,Software Consultant,New York,New York City,10090,"$56,911.43 "
Black,Female,33,Staff Scientist,New York,Albany,12237,"$140,896.39 "
Hispanic,Male,20,Cost Accountant,New York,Rochester,14646,"$247,435.46 "
White,Female,47,Nurse,New York,Bronx,10459,"$110,864.66 "
Black,Female,64,Sales Associate,New York,Buffalo,14263,"$154,469.51 "
Black,Male,45,Welder,New York,New York City,10110,"$135,244.58 "
White,Male,39,Assistant Professor,New York,New York City,10280,"$203,748.43 "
Black,Male,38,Database Administrator,New York,New York City,10115,"$90,966.95 "
Asian,Male,62,Recruiting Manager,New York,Rochester,14609,"$196,124.47 "
White,Female,38,Research Associate,New York,Jamaica,11447,"$200,879.35 "
White,Male,61,Statistician,New York,New York City,10090,"$88,779.14 "
White,Male,51,Recruiting Manager,New York,New York City,10004,"$198,030.21 "
